阿甘正传,9.5,美国,剧情,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg
辛德勒的名单,9.5,美国,剧情,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
控方证人,9.5,美国,剧情,https://movie.douban.com/subject/5294851/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
十二怒汉（电视版）,9.5,美国,剧情,https://movie.douban.com/subject/10583098/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153875961.jpg
泰坦尼克号,9.4,美国,剧情,https://movie.douban.com/subject/1292722/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
十二怒汉,9.4,美国,剧情,https://movie.douban.com/subject/1293182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
唐顿庄园：2015圣诞特别篇,9.4,美国,剧情,https://movie.douban.com/subject/26320001/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2292519115.jpg
疑犯追踪 试播集,9.4,美国,剧情,https://movie.douban.com/subject/24700683/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1974739828.jpg
拜访森林,9.4,美国,剧情,https://movie.douban.com/subject/25741291/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155898916.jpg
查理布朗男孩,9.4,美国,剧情,https://movie.douban.com/subject/1295406/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p577559527.jpg
盗梦空间,9.3,美国,剧情,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
忠犬八公的故事,9.3,美国,剧情,https://movie.douban.com/subject/3011091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
楚门的世界,9.3,美国,剧情,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
星际穿越,9.3,美国,剧情,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
教父,9.3,美国,剧情,https://movie.douban.com/subject/1291841/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
乱世佳人,9.3,美国,剧情,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
摩登时代,9.3,美国,剧情,https://movie.douban.com/subject/1294371/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
城市之光,9.3,美国,剧情,https://movie.douban.com/subject/1293908/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
辛德勒的名单,9.5,美国,历史,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
乱世佳人,9.3,美国,历史,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
